codigo,codigo_dpto,codigo_mun,dpto,mun,metota,mesesc,pmesesc,meserr,centota,carg,cargElectos,cargEmpatados,cargtota,votant,pvotant,absten,pabsten,votnul,pvotnul,votnma,pvotnma,FEDERICO_GUTIÉRREZ_vot,FEDERICO_GUTIÉRREZ_pvot,RODOLFO_HERNÁNDEZ_vot,RODOLFO_HERNÁNDEZ_pvot,GUSTAVO_PETRO_vot,GUSTAVO_PETRO_pvot,SERGIO_FAJARDO_vot,SERGIO_FAJARDO_pvot,JOHN MILTON_RODRÍGUEZ_vot,JOHN MILTON_RODRÍGUEZ_pvot,ENRIQUE_GÓMEZ MARTÍNEZ_vot,ENRIQUE_GÓMEZ MARTÍNEZ_pvot,LUIS_PÉREZ_vot,LUIS_PÉREZ_pvot,INGRID_BETANCOURT_vot,INGRID_BETANCOURT_pvot,cod2,dane
0100004,12,10,ANTIOQUIA,ABEJORRAL,43,43,100,0,15305,0,0,0,0,7405,48.38,7900,51.61,89,1.20,42,0.56,4942,67.94,1112,15.28,685,9.41,353,4.85,36,0.49,19,0.26,8,0.10,6,0.08,01004,5002
2500004,18,14,NORTE DE SAN,ABREGO,76,76,100,0,24460,0,0,0,0,12709,51.95,11751,48.04,51,0.40,17,0.13,1485,11.74,9207,72.83,1615,12.77,115,0.90,62,0.49,44,0.34,1,0.01,2,0.01,25004,54003
0100007,11,5,ANTIOQUIA,ABRIAQUI,6,6,100,0,1967,0,0,0,0,988,50.22,979,49.77,6,0.60,3,0.30,696,71.09,174,17.77,56,5.72,29,2.96,0,0,3,0.30,2,0.20,0,0,01007,5004
5200005,23,19,META,ACACIAS,182,182,100,0,68610,0,0,0,0,48226,70.29,20384,29.70,852,1.76,33,0.06,5406,11.41,27658,58.42,11919,25.17,813,1.71,811,1.71,67,0.14,18,0.03,21,0.04,52005,50006
1700004,16,11,CHOCO,ACANDI,31,31,100,0,9802,0,0,0,0,3941,40.2,5861,59.79,45,1.14,19,0.48,1217,31.39,391,10.08,2073,53.46,74,1.90,11,0.28,10,0.25,2,0.05,4,0.10,17004,27006
1900004,21,13,HUILA,ACEVEDO,57,57,100,0,21661,0,0,0,0,11429,52.76,10232,47.23,82,0.71,12,0.10,1551,13.68,7707,67.99,1686,14.87,106,0.93,150,1.32,20,0.17,2,0.01,8,0.07,19004,41006
0500004,15,12,BOLIVAR,ACHI,57,57,100,0,17948,0,0,0,0,7130,39.72,10818,60.27,27,0.37,17,0.23,3595,50.73,1518,21.42,1548,21.84,159,2.24,159,2.24,36,0.50,6,0.08,8,0.11,05004,13006
1900007,12,7,HUILA,AGRADO,20,20,100,0,7679,0,0,0,0,4608,60,3071,39.99,34,0.73,4,0.08,1139,24.92,2229,48.77,998,21.83,52,1.13,88,1.92,6,0.13,1,0.02,1,0.02,19007,41013
1500004,18,10,CUNDINAMARCA,AGUA DE DIOS,26,26,100,0,10102,0,0,0,0,5786,57.27,4316,42.72,71,1.22,11,0.19,1287,22.56,2180,38.21,1879,32.94,187,3.27,62,1.08,5,0.08,0,0,3,0.05,15004,25001
1200075,19,17,CESAR,AGUACHICA,200,200,100,0,73840,0,0,0,0,43219,58.53,30621,41.46,611,1.41,106,0.24,6147,14.46,22288,52.43,11116,26.15,710,1.67,1326,3.11,173,0.40,55,0.12,81,0.19,12075,20011
2700004,8,4,SANTANDER,AGUADA,4,4,100,0,1517,0,0,0,0,863,56.88,654,43.11,2,0.23,1,0.11,110,12.79,668,77.67,66,7.67,7,0.81,2,0.23,3,0.34,0,0,0,0,27004,68013
0900004,18,13,CALDAS,AGUADAS,54,54,100,0,19036,0,0,0,0,10939,57.46,8097,42.53,247,2.25,48,0.43,4530,42.55,4088,38.40,1217,11.43,497,4.66,93,0.87,39,0.36,5,0.04,16,0.15,09004,17013
4600040,15,11,CASANARE,AGUAZUL,81,81,100,0,28947,0,0,0,0,20494,70.79,8453,29.20,235,1.14,13,0.06,1234,6.09,13608,67.21,4564,22.54,306,1.51,260,1.28,25,0.12,10,0.04,16,0.07,46040,85010
1200150,21,15,CESAR,AGUSTIN CODAZZI,128,128,100,0,51181,0,0,0,0,22996,44.93,28185,55.06,314,1.36,29,0.12,4532,20.00,5439,24.01,11115,49.06,661,2.91,571,2.52,54,0.23,4,0.01,12,0.05,12150,20013
1900010,14,10,HUILA,AIPE,43,43,100,0,15772,0,0,0,0,9089,57.62,6683,42.37,111,1.22,10,0.11,1595,17.78,4603,51.32,2326,25.93,178,1.98,164,1.82,8,0.08,2,0.02,6,0.06,19010,41016
1500007,12,6,CUNDINAMARCA,ALBAN,14,14,100,0,5326,0,0,0,0,3023,56.75,2303,43.24,37,1.22,1,0.03,456,15.27,1702,57.01,670,22.44,100,3.35,20,0.67,2,0.06,0,0,0,0,15007,25019
2300004,12,9,NARIÑO,ALBAN (SAN JOSE),20,20,100,0,7006,0,0,0,0,3975,56.73,3031,43.26,39,0.98,15,0.37,908,23.15,1283,32.72,1563,39.86,77,1.96,4,0.10,13,0.33,0,0,0,0,23004,52019
2700007,11,7,SANTANDER,ALBANIA,12,12,100,0,3465,0,0,0,0,1894,54.66,1571,45.33,7,0.36,1,0.05,170,9.01,1386,73.48,290,15.37,20,1.06,4,0.21,2,0.10,2,0.10,1,0.05,27007,68020
4400002,11,7,CAQUETA,ALBANIA,12,12,100,0,4175,0,0,0,0,2120,50.77,2055,49.22,14,0.66,3,0.14,369,17.54,1217,57.86,407,19.35,23,1.09,34,1.61,6,0.28,2,0.09,3,0.14,44002,18029
4800002,13,10,LA GUAJIRA,ALBANIA,49,49,100,0,18452,0,0,0,0,7870,42.65,10582,57.34,89,1.13,9,0.11,960,12.35,805,10.35,5609,72.16,122,1.56,160,2.05,22,0.28,6,0.07,3,0.03,48002,44035
3100004,15,10,VALLE,ALCALA,32,32,100,0,12115,0,0,0,0,5841,48.21,6274,51.78,118,2.02,22,0.37,1463,25.66,2044,35.85,1915,33.59,123,2.15,23,0.40,11,0.19,3,0.05,4,0.07,31004,76020
2300007,14,4,NARIÑO,ALDANA,17,17,100,0,6081,0,0,0,0,3469,57.04,2612,42.95,57,1.64,12,0.34,273,8.02,656,19.29,2289,67.32,54,1.58,19,0.55,8,0.23,3,0.08,4,0.11,23007,52022
0100010,12,6,ANTIOQUIA,ALEJANDRIA,12,12,100,0,4558,0,0,0,0,2364,51.86,2194,48.13,18,0.76,6,0.25,1501,64.14,399,17.05,272,11.62,122,5.21,1,0.04,7,0.29,3,0.12,1,0.04,01010,5021
8800120,3,3,CONSULADOS,ALEMANIA,30,30,100,0,10430,0,0,0,0,5733,54.96,4697,45.03,5,0.08,0,0,814,14.21,416,7.26,3403,59.40,978,17.07,21,0.36,14,0.24,0,0,6,0.10,88120,27810
2100008,15,10,MAGDALENA,ALGARROBO,29,29,100,0,10409,0,0,0,0,5026,48.28,5383,51.71,35,0.69,13,0.25,871,17.49,429,8.61,3513,70.57,52,1.04,42,0.84,13,0.26,1,0.02,2,0.04,21008,47030
1900013,15,9,HUILA,ALGECIRAS,46,46,100,0,17168,0,0,0,0,8259,48.1,8909,51.89,112,1.35,21,0.25,1062,13.06,3725,45.84,2668,32.83,114,1.40,411,5.05,18,0.22,2,0.02,9,0.11,19013,41020
1100004,18,12,CAUCA,ALMAGUER,37,37,100,0,12843,0,0,0,0,6159,47.95,6684,52.04,58,0.94,19,0.30,232,3.81,145,2.38,5589,91.89,36,0.59,11,0.18,12,0.19,4,0.06,4,0.06,11004,19022
0700007,12,4,BOYACA,ALMEIDA,5,5,100,0,1970,0,0,0,0,1010,51.26,960,48.73,17,1.68,6,0.59,111,11.24,602,60.99,204,20.66,56,5.67,2,0.20,1,0.10,1,0.10,0,0,07007,15022
2900004,12,8,TOLIMA,ALPUJARRA,15,15,100,0,3702,0,0,0,0,1996,53.91,1706,46.08,17,0.85,4,0.20,632,32.00,931,47.13,328,16.60,37,1.87,15,0.75,4,0.20,0,0,1,0.05,29004,73024
1900016,10,4,HUILA,ALTAMIRA,9,9,100,0,3406,0,0,0,0,1909,56.04,1497,43.95,11,0.57,6,0.31,305,16.12,737,38.95,767,40.53,30,1.58,17,0.89,3,0.15,0,0,1,0.05,19016,41026
1700006,31,20,CHOCO,ALTO BAUDO (PIE DE PATO),49,49,100,0,10614,0,0,0,0,4877,45.94,5737,54.05,7,0.14,14,0.28,114,2.34,67,1.37,4607,94.87,35,0.72,4,0.08,4,0.08,1,0.02,1,0.02,17006,27025
0500006,15,9,BOLIVAR,ALTOS DEL ROSARIO,22,22,100,0,7653,0,0,0,0,2538,33.16,5115,66.83,16,0.63,6,0.23,777,30.88,752,29.88,784,31.16,54,2.14,56,2.22,49,1.94,13,0.51,4,0.15,05006,13030
2900007,14,10,TOLIMA,ALVARADO,26,26,100,0,8547,0,0,0,0,4206,49.21,4341,50.78,65,1.54,15,0.35,830,20.11,1897,45.97,1247,30.22,63,1.52,27,0.65,5,0.12,0,0,2,0.04,29007,73026
0100013,17,12,ANTIOQUIA,AMAGA,64,64,100,0,23562,0,0,0,0,11703,49.66,11859,50.33,204,1.74,33,0.28,4819,42.02,3541,30.88,2271,19.80,496,4.32,33,0.28,28,0.24,17,0.14,7,0.06,01013,5030
0100016,16,8,ANTIOQUIA,AMALFI,49,49,100,0,18356,0,0,0,0,6175,33.64,12181,66.35,97,1.57,25,0.40,2629,43.43,1923,31.76,889,14.68,345,5.69,36,0.59,20,0.33,9,0.14,3,0.04,01016,5031
2900010,13,9,TOLIMA,AMBALEMA,21,21,100,0,6700,0,0,0,0,3439,51.32,3261,48.67,60,1.74,2,0.05,775,22.94,1377,40.77,1130,33.46,40,1.18,11,0.32,3,0.08,9,0.26,3,0.08,29010,73030
1500010,14,11,CUNDINAMARCA,ANAPOIMA,34,34,100,0,12840,0,0,0,0,8106,63.13,4734,36.86,62,0.76,3,0.03,1636,20.34,4162,51.75,1764,21.93,255,3.17,123,1.52,11,0.13,2,0.02,3,0.03,15010,25035
2300010,13,9,NARIÑO,ANCUYA,24,24,100,0,7211,0,0,0,0,3439,47.69,3772,52.30,36,1.04,4,0.11,326,9.59,284,8.35,2658,78.19,63,1.85,4,0.11,9,0.26,1,0.02,1,0.02,23010,52036
3100007,15,12,VALLE,ANDALUCIA,54,54,100,0,19778,0,0,0,0,10360,52.38,9418,47.61,206,1.98,7,0.06,2195,21.63,2060,20.30,5272,51.95,270,2.66,143,1.40,12,0.11,6,0.05,6,0.05,31007,76036
0100019,20,12,ANTIOQUIA,ANDES,90,90,100,0,35833,0,0,0,0,16467,45.95,19366,54.04,156,0.94,29,0.17,9330,57.30,3512,21.56,2400,14.74,686,4.21,39,0.23,33,0.20,21,0.12,4,0.02,01019,5034
0100022,18,9,ANTIOQUIA,ANGELOPOLIS,17,17,100,0,5920,0,0,0,0,2580,43.58,3340,56.41,38,1.47,12,0.46,1364,53.91,622,24.58,363,14.34,102,4.03,6,0.23,4,0.15,4,0.15,4,0.15,01022,5036
0100025,14,8,ANTIOQUIA,ANGOSTURA,26,26,100,0,9453,0,0,0,0,3292,34.82,6161,65.17,82,2.49,33,1.00,1527,48.06,912,28.70,338,10.63,264,8.30,6,0.18,21,0.66,9,0.28,13,0.40,01025,5038
1500013,19,14,CUNDINAMARCA,ANOLAIMA,32,32,100,0,12012,0,0,0,0,7172,59.7,4840,40.29,67,0.93,6,0.08,1398,19.69,3721,52.41,1480,20.84,251,3.53,120,1.69,16,0.22,3,0.04,5,0.07,15013,25040
0100028,19,10,ANTIOQUIA,ANORI,36,36,100,0,12729,0,0,0,0,3502,27.51,9227,72.48,31,0.88,11,0.31,1024,29.59,1226,35.43,863,24.94,150,4.33,17,0.49,44,1.27,5,0.14,3,0.08,01028,5040
0900007,17,16,CALDAS,ANSERMA,82,82,100,0,28643,0,0,0,0,15614,54.51,13029,45.48,454,2.90,57,0.36,5412,35.83,5531,36.62,3173,21.00,548,3.62,80,0.52,46,0.30,5,0.03,21,0.13,09007,17042
3100010,14,12,VALLE,ANSERMANUEVO,58,58,100,0,19084,0,0,0,0,8376,43.89,10708,56.10,127,1.51,25,0.29,2425,29.48,3445,41.88,1957,23.79,163,1.98,47,0.57,18,0.21,16,0.19,5,0.06,31010,76041
0100031,17,12,ANTIOQUIA,ANTIOQUIA,63,63,100,0,22554,0,0,0,0,10609,47.03,11945,52.96,268,2.52,29,0.27,4155,40.29,3027,29.35,2222,21.54,478,4.63,49,0.47,22,0.21,13,0.12,9,0.08,01031,5042
0100034,11,6,ANTIOQUIA,ANZA,18,18,100,0,6336,0,0,0,0,2446,38.6,3890,61.39,29,1.18,9,0.36,1138,47.25,784,32.55,314,13.03,101,4.19,4,0.16,10,0.41,3,0.12,0,0,01034,5044
2900013,13,8,TOLIMA,ANZOATEGUI,22,22,100,0,8336,0,0,0,0,3791,45.47,4545,54.52,26,0.68,6,0.15,527,14.01,2360,62.78,715,19.02,64,1.70,42,1.11,6,0.15,3,0.07,2,0.05,29013,73043
0100035,22,17,ANTIOQUIA,APARTADO,257,257,100,0,101537,0,0,0,0,49413,48.66,52124,51.33,624,1.26,102,0.20,8352,17.15,11296,23.20,25695,52.77,1119,2.29,872,1.79,82,0.16,43,0.08,20,0.04,01035,5045
2400008,12,9,RISARALDA,APIA,31,31,100,0,10624,0,0,0,0,5644,53.12,4980,46.87,140,2.48,14,0.24,1421,25.88,2467,44.93,1188,21.63,191,3.47,46,0.83,13,0.23,2,0.03,26,0.47,24008,66045
1500217,16,9,CUNDINAMARCA,APULO,19,19,100,0,7203,0,0,0,0,4273,59.32,2930,40.67,36,0.84,10,0.23,703,16.63,2424,57.34,902,21.33,116,2.74,34,0.80,4,0.09,2,0.04,2,0.04,15217,25599
0700008,16,12,BOYACA,AQUITANIA (PUEBLOVIEJO),43,43,100,0,12873,0,0,0,0,7641,59.35,5232,40.64,77,1.00,11,0.14,524,6.93,5583,73.91,1123,14.86,176,2.33,14,0.18,43,0.56,4,0.05,5,0.06,07008,15047
2100010,16,12,MAGDALENA,ARACATACA,82,82,100,0,29833,0,0,0,0,11869,39.78,17964,60.21,131,1.10,20,0.16,2292,19.55,2033,17.34,6847,58.43,154,1.31,169,1.44,24,0.20,1,0.01,8,0.06,21010,47053
0900013,16,12,CALDAS,ARANZAZU,34,34,100,0,11263,0,0,0,0,5953,52.85,5310,47.14,119,1.99,30,0.50,2503,43.12,2056,35.42,706,12.16,374,6.44,27,0.46,23,0.39,0,0,7,0.12,09013,17050
2700010,12,6,SANTANDER,ARATOCA,18,18,100,0,6898,0,0,0,0,4492,65.12,2406,34.87,12,0.26,10,0.22,395,8.83,3567,79.79,447,10.00,24,0.53,6,0.13,4,0.08,0,0,0,0,27010,68051
4000001,16,15,ARAUCA,ARAUCA,204,204,100,0,78861,0,0,0,0,35743,45.32,43118,54.67,349,0.97,52,0.14,7656,21.66,20525,58.07,5197,14.70,883,2.49,409,1.15,76,0.21,23,0.06,14,0.03,40001,81001
4000010,17,15,ARAUCA,ARAUQUITA,97,97,100,0,34006,0,0,0,0,14106,41.48,19900,58.51,198,1.40,51,0.36,895,6.45,6975,50.33,5160,37.23,180,1.29,295,2.12,36,0.25,10,0.07,15,0.10,40010,81065
1500016,18,12,CUNDINAMARCA,ARBELAEZ,25,25,100,0,9654,0,0,0,0,6183,64.04,3471,35.95,57,0.92,3,0.04,1508,24.62,2828,46.18,1406,22.96,231,3.77,34,0.55,18,0.29,2,0.03,3,0.04,15016,25053
2300013,13,5,NARIÑO,ARBOLEDA (BERRUECOS),17,17,100,0,5976,0,0,0,0,2837,47.47,3139,52.52,67,2.36,7,0.24,577,20.88,636,23.01,1414,51.17,46,1.66,10,0.36,10,0.36,2,0.07,2,0.07,23013,52051
2500007,17,11,NORTE DE SAN,ARBOLEDAS,23,23,100,0,7473,0,0,0,0,4420,59.14,3053,40.85,22,0.49,8,0.18,1312,29.88,2687,61.20,297,6.76,48,1.09,8,0.18,5,0.11,2,0.04,1,0.02,25007,54051
